  Solver preprocessing started
 
  Solver begins on bump case in folder cases/bump
 
  Read application variables from file
    rgas =   287.0000     cp =   1004.500     cv =   717.5000     gam =   1.4000
 00
    CFL =  0.1357210     sfac =  6.7860499E-02 rfin =  0.2500000
    Convergence  d_max =  1.3572099E-05
    Mesh size  ni =        1000 nj =          37
    Inlet  pstag =   100000.0     tstag =   300.0000     alpha =   0.0000000E+00
    Outlet  p_out =   85000.00
 
  Generating Mesh
 Read domain curves from file
   Curve lengths ni_a =         401 ni_b =          401
 
 Interpolated mesh from the bounding geometry curves
 
 Calculated cell areas and facet lengths
   Overall minimum element size =   1.4848633E-03
 
  Minimum mesh size found to be   1.4848633E-03
 Mesh check passed
 
 Flow guess calaculated using improved method
 At g(1,1): ro =   1.200608     roe =   258884.6     rovx =   171.0127     rovy 
 =  0.0000000E+00
 At g(ni,1): ro =   1.200608     roe =   258884.6     rovx =   171.0127     
 rovy =  0.0000000E+00
 
  Time step set to   2.9022706E-07  seconds
  Calculation started
 iteration     50, d_max = 0.762E-02 at i =   9, j =  31, d_avg = 0.722E-04
 iteration    100, d_max = 0.588E-02 at i =  18, j =  31, d_avg = 0.758E-04
 iteration    150, d_max = 0.506E-02 at i =  26, j =  26, d_avg = 0.790E-04
 iteration    200, d_max = 0.455E-02 at i =  35, j =  27, d_avg = 0.819E-04
 iteration    250, d_max = 0.416E-02 at i =  44, j =  27, d_avg = 0.838E-04
 iteration    300, d_max = 0.385E-02 at i =  53, j =  27, d_avg = 0.854E-04
 iteration    350, d_max = 0.359E-02 at i =  62, j =  27, d_avg = 0.866E-04
 iteration    400, d_max = 0.338E-02 at i =  71, j =  27, d_avg = 0.877E-04
 iteration    450, d_max = 0.319E-02 at i =  80, j =  27, d_avg = 0.887E-04
 iteration    500, d_max = 0.303E-02 at i =  89, j =  27, d_avg = 0.896E-04
 iteration    550, d_max = 0.289E-02 at i =  98, j =  27, d_avg = 0.905E-04
 iteration    600, d_max = 0.278E-02 at i = 106, j =   4, d_avg = 0.912E-04
 iteration    650, d_max = 0.270E-02 at i = 115, j =   4, d_avg = 0.918E-04
 iteration    700, d_max = 0.260E-02 at i = 124, j =   6, d_avg = 0.922E-04
 iteration    750, d_max = 0.250E-02 at i = 133, j =   8, d_avg = 0.925E-04
 iteration    800, d_max = 0.241E-02 at i = 141, j =   1, d_avg = 0.928E-04
